Name,Formula,Dipole momentμ debye
"(1Z,3Z)-cycloocta-1,3-diene",C8H12,0.52
"(1Z,5E,9E)-cyclododeca-1,5,9-triene",C12H18,0.35
"(1Z,5Z)-cycloocta-1,5-diene",C8H12,0.17
"(2,6-dichlorophenyl)methylene-1,3-indandione",C16H8Cl2O2,2
(2-aminoethoxy)triethoxysilane,C8H21NO4Si,2.2
(2-chloroethenyl)trimethylgermane,C5H11ClGe,1.86
"(2-chlorophenyl)-(2,4-dichlorophenyl)methanone",C13H7Cl3O,3.3
"(2-chlorophenyl)-(2,5-dichlorophenyl)methanone",    ⋮,3.31
(2-chlorophenyl)-di(phenyl)phosphane,C18H14ClP,3.16
"(2-chlorophenyl)methylene-1,3-indandione",C16H9ClO2,2.44
(2-hydroxy-5-methylphenyl)-phenylmethanone,C14H12O2,3.23
"(2-methoxyphenyl)methylene-1,3-indandione",C17H12O3,1.26
"(2-methylphenyl)methylene-1,3-indandione",C17H12O2,1.2
(2-methylpropan-2-yl)oxybenzene,C10H14O,1.4
"(2E)-1,3-bis-(4-methoxyphenyl)-2-propen-1-one",C17H16O3,3.65
"(2E)-2,3-dichloro-1,1,1,4,4,4-hexafluorobut-2-ene",C4Cl2F6,0.53
(2E)-2-benzyl-3-methyl-2-butenedinitrile,C12H10N2,0.8
(2E)-2-butenal,C4H6O,3.67
(2E)-2-butenedinitrile,C4H2N2,0
(2E)-2-[(4-chlorophenyl)methylidene]cyclohexan-1-one,C13H13ClO,4.18
(2E)-3-phenylprop-2-enoic acid,C9H8O2,1.78
(2E)-pent-2-ene,C5H10,0
"(2E)-penta-2,4-dienenitrile",C5H5N,3.96
"(2E,3E)-N,N'-dihydroxy-2,3-hexanediimine",C6H12N2O2,1.26
"(2E,4E)-1,5-di(phenyl)penta-2,4-dien-1-one",C17H14O,3.05
"(2E,4E)-1-(4-methoxyphenyl)-5-phenylpenta-2,4-dien-1-one",C18H16O2,3.61
"(2E,4E)-1-furan-2-yl-5-phenylpenta-2,4-dien-1-one",C15H12O2,3.27
"(2E,4E)-2,4-hexadiene",C6H10,0.36
"(2E,4E)-5-(4-methoxyphenyl)-1-phenylpenta-2,4-dien-1-one",C18H16O2,3.62
"(2E,4E)-5-dimethylaminopenta-2,4-dienal",C7H11NO,8.24
"(2E,4E)-5-furan-2-yl-1-phenylpenta-2,4-dien-1-one",C15H12O2,3.17
"(2E,4E)-hexa-2,4-dienal",C6H8O,4.47
"(2E,4E,6E)-7-dimethylaminohepta-2,4,6-trienal",C9H13NO,8.5
"(2E,4E,6E)-octa-2,4,6-trienal",C8H10O,4.95
"(2E,4Z)-2,4-hexadiene",C6H10,0.31
"(2E,5E)-2,5-bis(phenylmethylidene)cyclopentan-1-one",C19H16O,3.33
"(2R,3S)-2,3-di(phenyl)-1,4-dioxane",C16H16O2,0.42
"(2R,3S)-2,3-dichlorobutane",C4H8Cl2,1.63
"(2R,3S)-bicyclo[2,2,1]heptane-2,3-dicarboxylic anhydride",C9H10O3,4.32
"(2S,3R)-bicyclo[2,2,1]heptane-2,3-dicarboxylic anhydride",    ⋮,3.91
"(2S,3S)-2,3-di(phenyl)-1,4-dioxane",C16H16O2,0.65
"(2S,3S)-2,3-dichloro-1,4-dioxane",C4H6Cl2O2,1.67
"(2S,5R)-2,5-dimethyl-1,4-dinitrosopiperazine",C6H12N4O2,1.61
"(2S,5R)-2-isopropyl-5-methylcyclohexanone",C10H18O,2.8
(2Z)-2-benzyl-3-methyl-2-butenedinitrile,C12H10N2,3.7
"(2Z)-penta-2,4-dienenitrile",C5H5N,3.83
"(3,4,5-trimethoxyphenyl)methylene-1,3-indandione",C19H16O5,2.26
"(3-chlorophenyl)methylene-1,3-indandione",C16H9ClO2,2.22
(3-chloropropenyl)benzene,C9H9Cl,1.9
(3-fluorophenyl)-di(phenyl)phosphane,C18H14FP,1.98
"(3-methoxyphenyl)methylene-1,3-indandione",C17H12O3,1.94
(4-aminophenyl)diethylarsine,C10H16AsN,2.35
(4-aminophenyl)diethylarsine oxide,C10H16AsNO,6.11
(4-bromophenyl)-cyclopropylmethanone,C10H9BrO,2.48
(4-bromophenyl)-dichlorophosphane,C6H4BrCl2P,2.04
(4-chlorocyclohexyl)benzene,C12H15Cl,2.2
(4-chlorophenoxy)-trimethylsilane,C9H13ClOSi,2.38
(4-chlorophenoxy)-tripropylsilane,C15H25ClOSi,2.4
(4-chlorophenyl)-cyclopropylmethanone,C10H9ClO,2.49
(4-chlorophenyl)-di(phenyl)phosphane,C18H14ClP,1.8
"(4-chlorophenyl)methylene-1,3-indandione",C16H9ClO2,2.24
"(4-dimethylaminophenyl)methylene-1,3-indandione",C18H15NO2,3.88
(4-fluorophenyl)-di(phenyl)phosphane,C18H14FP,1.77
"(4-fluorophenyl)methylene-1,3-indandione",C16H9FO2,2.12
(4-heptoxybenzylidene)-4-cyanoaniline,C21H24N2O,4.2
(4-methoxyphenyl)-phenyldiazene,C13H12N2O,1.54
(4-methoxyphenyl)hydrazine,C7H10N2O,2.68
"(4-methoxyphenyl)methylene-1,3-indandione",C17H12O3,1.97
"(4-methylphenyl)methylene-1,3-indandione",C17H12O2,1.24
(4-nitrobenzylidene)-4-nitroaniline,C13H9N3O4,3.66
(4-nitrobenzylidene)aniline,C13H10N2O2,4.1
(5R)-2-isopropylidene-5-methylcyclohexanone,C10H16O,2.95
(diacetoxyiodo)benzene,C10H11IO4,4.68
(dichloromethyl)benzene,C7H6Cl2,2.05
"(E)-1,2-dibromoethene",C2H2Br2,0
"(E)-1,2-difluoroethene",C2H2F2,0.55
"(E)-1,2-diiodoethene",C2H2I2,0
"(E)-1,2-diphenylethene",C14H12,0
"(E)-1,3-bis(1H-pyrrol-2-yl)prop-2-en-1-one",C11H10N2O,2.93
"(E)-1,3-bis(2,4,6-trimethoxyphenyl)prop-2-en-1-one",C21H24O7,5.65
"(E)-1,3-bis(2,4-dimethoxyphenyl)prop-2-en-1-one",C19H20O5,5.12
"(E)-1,3-bis(N-methyl-3-indolyl)prop-2-ene-1-one",C21H18N2O,6.42
"(E)-1,3-di(furan-2-yl)prop-2-en-1-one",C11H8O3,3.17
"(E)-1,3-pentadiene",C5H8,0.68
(E)-1-(1-methylindol-3-yl)-3-phenylprop-2-en-1-one,C18H15NO,4.77
(E)-1-(1-methylpyrrol-2-yl)-3-phenylprop-2-en-1-one,C14H13NO,3.14
"(E)-1-(2,4,6-trimethoxyphenyl)-3-(methoxyphenyl)prop-2-en-1-one",C19H20O5,4.83
"(E)-1-(2,4-dimethoxyphenyl)-3-(2,4,6-trimethoxyphenyl)prop-2-en-1-one",C20H22O6,5.25
"(E)-1-(2,4-dimethoxyphenyl)-3-furan-2-ylprop-2-en-1-one",C15H14O4,3.9
"(E)-1-(2,4-dimethoxyphenyl)-3-phenylprop-2-en-1-one",C17H16O3,4.17
(E)-1-(2-pyridyl)-3-(4-fluorophenyl)-2-propen-1-one,C14H10FNO,2.61
(E)-1-(3-indolyl)-3-(2-furyl)prop-2-ene-1-one,C15H11NO2,4.84
(E)-1-(3-indolyl)-3-(2-thienyl)prop-2-ene-1-one,C15H11NOS,4.84
(E)-1-(3-indolyl)-3-(3-pyridyl)prop-2-ene-1-one,C16H12N2O,5.34
(E)-1-(3-indolyl)-3-(4-anisyl)prop-2-ene-1-one,C19H17NO2,4.66
(E)-1-(3-indolyl)-3-(4-chlorophenyl)prop-2-ene-1-one,C17H12ClNO,5.57
(E)-1-(3-indolyl)-3-(4-tolyl)prop-2-ene-1-one,C18H15NO,4.63
(E)-1-(3-indolyl)-3-phenylprop-2-ene-1-one,C17H13NO,4.75
(E)-1-(3-pyridyl)-3-(4-fluorophenyl)-2-propen-1-one,C14H10FNO,3.25
(E)-1-(4-aminophenyl)-2-trifluoromethylethylene,C9H8F3N,4.34
(E)-1-(4-bromophenyl)-3-(1H-indol-3-yl)prop-2-en-1-one,C17H12BrNO,5.52
(E)-1-(4-bromophenyl)-3-(1H-pyrrol-2-yl)prop-2-en-1-one,C13H10BrNO,2.52
(E)-1-(4-chlorophenyl)-3-(1H-indol-3-yl)prop-2-en-1-one,C17H12ClNO,5.58
(E)-1-(4-chlorophenyl)-3-(1H-pyrrol-2-yl)prop-2-en-1-one,C13H10ClNO,2.65
(E)-1-(4-dimethylaminophenyl)-3-pyrrol-2-ylprop-2-ene-1-one,C15H16N2O,3.7
(E)-1-(4-methoxyphenyl)-3-(1H-pyrrol-2-yl)prop-2-en-1-one,C14H13NO2,2.64
"(E)-1-(4-methoxyphenyl)-3-(2,4,6-trimethoxyphenyl)-1-propene-3-one",C19H20O5,4.95
"(E)-1-(4-methoxyphenyl)-3-(2,4,6-trimethoxyphenyl)prop-2-en-1-one",    ⋮,4.62
(E)-1-(4-methoxyphenyl)-3-(5-nitrofuran-2-yl)prop-2-en-1-one,C14H11NO5,3.23
(E)-1-(4-methoxyphenyl)-3-phenylprop-2-en-1-one,C16H14O2,3.47
(E)-1-(4-methylphenyl)-2-phenylethene,C15H14,0.34
(E)-1-(4-methylphenyl)-3-(1H-pyrrol-2-yl)prop-2-en-1-one,C14H13NO,2.44
(E)-1-(4-nitrophenyl)-3-(1H-pyrrol-2-yl)prop-2-en-1-one,C13H10N2O3,4.77
(E)-1-(4-nitrophenyl)-3-thiophen-2-ylprop-2-en-1-one,C13H9NO3S,5.11
(E)-1-(4-pyridyl)-3-(4-fluorophenyl)-2-propen-1-one,C14H10FNO,2.1
(E)-1-(5-bromothiophen-2-yl)-3-(4-nitrophenyl)prop-2-en-1-one,C13H8BrNO3S,4.03
(E)-1-(5-methoxythiophen-2-yl)-3-(4-nitrophenyl)prop-2-en-1-one,C14H11NO4S,8.95
(E)-1-(5-methylthiophen-2-yl)-3-(4-nitrophenyl)prop-2-en-1-one,C14H11NO3S,4.91
"(E)-1-(5-nitro-2-furyl)-3-(2,4,6-trimethoxyphenyl)-2-propen-1-one",C16H15NO7,5.17
(E)-1-(5-nitrofuran-2-yl)-3-phenylprop-2-en-1-one,C13H9NO4,2.96
(E)-1-(5-nitrothien-2-yl)-3-(4-nitrophenyl)prop-2-ene-1-one,C13H8N2O5S,4.25
(E)-1-bromo-2-chloroethene,C2H2BrCl,0
(E)-1-chloro-2-iodoethene,C2H2ClI,1.3
(E)-1-diethoxyphosphorylbut-1-ene,C8H17O3P,2.92
(E)-1-furan-2-yl-3-(4-methoxyphenyl)prop-2-en-1-one,C14H12O3,3.59
(E)-1-furan-2-yl-3-(4-nitrophenyl)prop-2-en-1-one,C13H9NO4,4.43
(E)-1-furan-2-yl-3-phenylprop-2-en-1-one,C13H10O2,3.19
(E)-1-indol-3-yl-3-selenophen-2-ylprop-2-ene-1-one,C15H11NOSe,4.87
"(E)-1-nitro-3,3-dimethyl-1-butene",C6H11NO2,4.04
(E)-1-phenyl-3-(1H-pyrrol-2-yl)prop-2-en-1-one,C13H11NO,2.21
"(E)-1-Phenyl-3-(2,4,6-trimethoxyphenyl)prop-2-en-1-one",C18H18O4,4.55
(E)-1-phenyl-3-thiophen-2-ylprop-2-en-1-one,C13H10OS,3.13
(E)-1-pyridin-2-yl-3-selenophen-2-ylprop-2-en-1-one,C12H9NOSe,2.4
(E)-1-pyridin-2-yl-3-thiophen-2-ylprop-2-en-1-one,C12H9NOS,2.13
(E)-1-pyridin-3-yl-3-selenophen-2-ylprop-2-en-1-one,C12H9NOSe,3.36
(E)-1-pyridin-3-yl-3-thiophen-2-ylprop-2-en-1-one,C12H9NOS,3.15
(E)-1-pyridin-4-yl-3-thiophen-2-ylprop-2-en-1-one,    ⋮,3.54
"(E)-2,3-dimethyl-2-butene-1,4-diol",C6H12O2,1.93
(E)-2-(p-bromobenzylidene)cyclohexanone,C13H13BrO,3.07
(E)-2-(p-iodobenzylidene)cyclohexanone,C13H13IO,2.51
(E)-2-butene,C4H8,0
(E)-2-butenenitrile,C4H5N,4.5
(E)-2-chlorobenzaldehyde oxime,C7H6ClNO,1.63
(E)-2-hydroxybenzaldoxime,C7H7NO2,1.25
(E)-2-methylbenzaldoxime,C8H9NO,0.86
(E)-2-nitro-4-methyl-2-pentene,C6H11NO2,4.04
(E)-2-nitrobenzaldehyde oxime,C7H6N2O3,3.6
(E)-2-nitrovinylbenzene,C8H7NO2,4.34
(E)-3-(1-methylindol-3-yl)-1-phenylprop-2-en-1-one,C18H15NO,6.25
(E)-3-(1-methylpyrrol-2-yl)-1-phenylprop-2-en-1-one,C14H13NO,2.3
(E)-3-(1H-indol-3-yl)-1-(4-methylphenyl)prop-2-en-1-one,C18H15NO,6.05
(E)-3-(1H-indol-3-yl)-1-(4-nitrophenyl)prop-2-en-1-one,C17H12N2O3,7.45
(E)-3-(1H-indol-3-yl)-1-(4-phenylphenyl)prop-2-en-1-one,C23H17NO,5.16
(E)-3-(1H-indol-3-yl)-1-naphthalen-1-ylprop-2-en-1-one,C21H15NO,5.6
(E)-3-(1H-indol-3-yl)-1-thiophen-2-ylprop-2-en-1-one,C15H11NOS,6.11
"(E)-3-(2,4-dimethoxyphenyl)-1-(2,4,6-trimethoxyphenyl)prop-2-en-1-one",C20H22O6,5.64
"(E)-3-(2,4-dimethoxyphenyl)-1-(4-methoxyphenyl)prop-2-en-1-one",C18H18O4,4.08
"(E)-3-(2,4-dimethoxyphenyl)-1-(5-nitro-2-furyl)-2-propen-1-one",C15H13NO6,4.4
"(E)-3-(2,4-dimethoxyphenyl)-1-furan-2-ylprop-2-en-1-one",C15H14O4,4.18
"(E)-3-(2,4-dimethoxyphenyl)-1-phenylprop-2-en-1-one",C17H16O3,4.04
(E)-3-(3-indolyl)-1-(2-furyl)prop-2-ene-1-one,C15H11NO2,6.15
(E)-3-(3-indolyl)-1-(2-naphthyl)prop-2-ene-1-one,C21H15NO,5.15
(E)-3-(3-indolyl)-1-(4-anisyl)prop-2-ene-1-one,C19H17NO2,6.8
(E)-3-(3-indolyl)-1-phenylprop-2-ene-1-one,C17H13NO,6.05
(E)-3-(4-bromophenyl)-1-(1H-pyrrol-2-yl)prop-2-en-1-one,C13H10BrNO,4.13
(E)-3-(4-bromophenyl)-1-phenyl-2-propen-1-one,C15H11BrO,2.91
(E)-3-(4-chlorophenyl)-1-(1H-pyrrol-2-yl)prop-2-en-1-one,C13H10ClNO,4.02
(E)-3-(4-chlorophenyl)-1-phenyl-2-propen-1-one,C15H11ClO,2.96
(E)-3-(4-chlorophenyl)-1-pyridin-2-ylprop-2-en-1-one,C14H10ClNO,2.93
(E)-3-(4-chlorophenyl)-1-pyridin-3-ylprop-2-en-1-one,    ⋮,2.22
(E)-3-(4-chlorophenyl)-1-pyridin-4-ylprop-2-en-1-one,    ⋮,1.95
(E)-3-(4-dimethylaminophenyl)-1-pyrrol-2-ylprop-2-ene-1-one,C15H16N2O,5.13
(E)-3-(4-methoxyphenyl)-1-(1H-pyrrol-2-yl)prop-2-en-1-one,C14H13NO2,4.21
(E)-3-(4-methoxyphenyl)-1-(5-nitrofuran-2-yl)prop-2-en-1-one,C14H11NO5,3.63
(E)-3-(4-methoxyphenyl)-1-phenylprop-2-en-1-one,C16H14O2,3.36
(E)-3-(4-methoxyphenyl)-1-pyridin-2-ylprop-2-en-1-one,C15H13NO2,2.64
(E)-3-(4-methoxyphenyl)-1-pyridin-3-ylprop-2-en-1-one,    ⋮,3.62
(E)-3-(4-methoxyphenyl)-1-pyridin-4-ylprop-2-en-1-one,    ⋮,4.23
(E)-3-(4-methylphenyl)-1-(1H-pyrrol-2-yl)prop-2-en-1-one,C14H13NO,4.12
(E)-3-(4-methylphenyl)-1-pyridin-2-ylprop-2-en-1-one,C15H13NO,2.47
(E)-3-(4-methylphenyl)-1-pyridin-3-ylprop-2-en-1-one,    ⋮,3.31
(E)-3-(4-methylphenyl)-1-pyridin-4-ylprop-2-en-1-one,    ⋮,3.77
(E)-3-(4-nitrophenyl)-1-(1H-pyrrol-2-yl)prop-2-en-1-one,C13H10N2O3,5.32
(E)-3-(4-nitrophenyl)-1-pyridin-2-ylprop-2-en-1-one,C14H10N2O3,4.68
(E)-3-(4-nitrophenyl)-1-thiophen-2-ylprop-2-en-1-one,C13H9NO3S,4.25
(E)-3-(5-bromothiophen-2-yl)-1-(4-nitrophenyl)prop-2-en-1-one,C13H8BrNO3S,4.22
(E)-3-(5-methoxythiophen-2-yl)-1-(4-nitrophenyl)prop-2-en-1-one,C14H11NO4S,10.08
(E)-3-(5-methylthiophen-2-yl)-1-(4-nitrophenyl)prop-2-en-1-one,C14H11NO3S,5.47
(E)-3-(5-nitrofuran-2-yl)-1-(4-nitrophenyl)prop-2-en-1-one,C13H8N2O6,4.86
(E)-3-(5-nitrofuran-2-yl)-1-phenylprop-2-en-1-one,C13H9NO4,2.91
(E)-3-dimethylamino-1-phenylprop-2-en-1-one,C11H13NO,4.64
(E)-3-furan-2-yl-1-(4-methoxyphenyl)prop-2-en-1-one,C14H12O3,3.22
(E)-3-furan-2-yl-1-(4-nitrophenyl)prop-2-en-1-one,C13H9NO4,4.97
(E)-3-furan-2-yl-1-phenylprop-2-en-1-one,C13H10O2,3.03
(E)-3-furan-3-yl-1-pyridin-2-ylprop-2-en-1-one,C12H9NO2,2.23
(E)-3-furan-3-yl-1-pyridin-3-ylprop-2-en-1-one,    ⋮,3.28
(E)-3-hexene,C6H12,0
(E)-3-pentenenitrile,C5H7N,3.61
(E)-3-phenyl-1-(1H-pyrrol-2-yl)prop-2-en-1-one,C13H11NO,3.9
"(E)-3-phenyl-1-(2,4,6-trimethoxyphenyl)prop-2-en-1-one",C18H18O4,4.87
(E)-3-phenyl-1-pyridin-2-ylprop-2-en-1-one,C14H11NO,2.31
(E)-3-phenyl-1-pyridin-3-ylprop-2-en-1-one,    ⋮,2.88
(E)-3-phenyl-1-pyridin-4-ylprop-2-en-1-one,    ⋮,3.27
(E)-3-phenyl-1-thiophen-2-ylprop-2-en-1-one,C13H10OS,3.37
(E)-3-phenyl-2-propenal,C9H8O,4.08
(E)-3-phenylprop-2-enamide,C9H9NO,8.61
"(E)-4,4-dimethyl-1-phenylpent-1-en-3-one",C13H16O,2.87
(E)-4-(5-nitrothiophen-2-yl)but-3-en-2-one,C8H7NO3S,3.86
(E)-4-chloro-3-methylbut-2-enenitrile,C5H6ClN,3.44
(E)-4-chloro-3-methylbut-3-enenitrile,    ⋮,3.26
(E)-4-chlorobenzaldehyde oxime,C7H6ClNO,0.92
(E)-4-isopropylbenzaldehyde oxime,C10H13NO,1.17
(E)-4-methoxystilbene,C15H14O,1.13
(E)-4-methylbenzaldoxime,C8H9NO,1.06
(E)-4-nitrobenzaldoxime,C7H6N2O3,4.6
(E)-4-phenyl-3-buten-2-one,C10H10O,3.31
(E)-acetaldoxime,C2H5NO,0.94
(E)-benzaldoxime,C7H7NO,0.87
(E)-bis(quinoline-2-yl)diazene,C18H12N4,1.12
(E)-bis(quinoline-4-yl)diazene,    ⋮,0.09
(E)-bis(quinoline-5-yl)diazene,    ⋮,0.87
(E)-bis(quinoline-6-yl)diazene,    ⋮,2.06
(E)-bis(quinoline-7-yl)diazene,    ⋮,1.68
(E)-but-2-en-1-ol,C4H8O,1.9
"(E)-but-2-ene-1,4-diol",C4H8O2,2.45
(E)-but-2-enoic acid,C4H6O2,2.13
(E)-butenedioic acid,C4H4O4,2.45
(E)-di(pyridin-2-yl)diazene,C10H8N4,1.78
(E)-pent-3-en-1-yne,C5H6,1.06
"(E,E)-1,5-di(2,4-dimethoxyphenyl)-1,3-pentanediene-5-one",C21H22O5,4.07
"(E,E)-1,5-di(4-methoxyphenyl)-1,3-pentanediene-5-one",C19H18O3,3.64
"(E,E)-1,5-di-2-furyl-2,4-pentadien-1-one",C13H10O3,3.19
"(E,E)-1,5-di-2-furyl-3-pentadienone",    ⋮,3.37
"(E,E)-1-(2,4,6-trimethoxyphenyl)-5-(4-methoxyphenyl)-1,4-pentanediene-3-one",C21H22O5,4.73
"(E,E)-1-(2,4,6-trimethoxyphenyl)-5-phenyl-1,3-pentanediene-5-one",C20H20O4,5.82
"(E,E)-1-(2,4-dimethoxyphenyl)-5-(4-methoxyphenyl)-1,3-pentanediene-5-one",    ⋮,3.91
"(E,E)-1-(2,4-dimethoxyphenyl)-5-(4-methoxyphenyl)-1,4-pentanediene-3-one",    ⋮,4.27
"(E,E)-1-(2,4-dimethoxyphenyl)-5-phenyl-1,3-pentanediene-5-one",C19H18O3,4.32
"(E,E)-1-(4-methoxyphenyl)-5-(2,4-dimethoxyphenyl)-1,3-pentanediene-5-one",C20H20O4,4.22
"(E,E)-1-(4-methoxyphenyl)-5-(5-nitro-2-furyl)-3-pentadienone",C16H13NO5,3.83
"(E,E)-1-phenyl-5-(2,4,6-trimethoxyphenyl)-1,3-pentanediene-5-one",C20H20O4,4.59
"(E,E)-1-phenyl-5-(2,4-dimethoxyphenyl)-1,3-pentanediene-5-one",C19H18O3,3.99
"(E,E)-4'-methoxy-5-(5-nitro-2-furyl)-2,4-pentadienophenone",C16H13NO5,3.97
"(E,E)-5-(4-methoxyphenyl)-1-(5-nitro-2-furyl)-2,4-pentadien-1-one",    ⋮,4.06
"(E,E)-ethyl 2,4-hexadienoate",C8H12O2,3
"(E,E,E)-1-(2-furyl)-7-phenyl-2,4,6-heptatrien-1-one",C17H14O2,3.38
"(E,E,E)-7-(2-furyl)-2,4,6-heptatrienophenone",    ⋮,3.32
(p-fluorophenyl)phenylamine,C12H10FN,1.88
"(R,S)-1,2-bis-(p-chlorophenyl)-1,2-diphenylethane",C26H20Cl2,1.23
"(R,S)-1,2-dichloro-1,2-diphenylethane",C14H12Cl2,1.27
"(R,S)-1,2-diphenylethane-1,2-diol",C14H14O2,2.33
"(R,S)-2,3-dichloro-1,4-dioxan",C4H6Cl2O2,3.03
"(R,S)-2,3-dinitroxybutane",C4H8N2O6,4.19
(trimethylsilyl)acetylene,C5H10Si,0.45
"(Z)-1,2-dibromoethene",C2H2Br2,1.22
"(Z)-1,2-diiodoethene",C2H2I2,0.75
"(Z)-1,3-pentadiene",C5H8,0.5
(Z)-1-bromo-2-chloroethene,C2H2BrCl,1.54
(Z)-1-chloro-2-iodoethene,C2H2ClI,0.6
(Z)-1-diethoxyphosphorylbut-1-ene,C8H17O3P,2.89
(Z)-1-propenol,C3H6O,1.64
"(Z)-2,3-dimethyl-2-butene-1,4-diol",C6H12O2,2.52
(Z)-2-butene,C4H8,0.3
(Z)-2-butenenitrile,C4H5N,4.08
(Z)-2-chlorobenzaldehyde oxime,C7H6ClNO,1.67
(Z)-2-pentene,C5H10,0.3
"(Z)-3,4-dinitro-3-hexene",C6H10N2O4,5.79
(Z)-3-hexene,C6H12,0.34
(Z)-3-nitrobenzaldehyde oxime,C7H6N2O3,3.95
(Z)-4-(3-nitrophenyl)but-3-en-2-one,C10H9NO3,4.56
(Z)-4-(4-nitrophenyl)but-3-en-2-one,    ⋮,5.27
(Z)-4-chloro-3-methylbut-2-enenitrile,C5H6ClN,3.84
(Z)-4-chloro-3-methylbut-3-enenitrile,    ⋮,2.56
(Z)-4-chlorobenzaldehyde oxime,C7H6ClNO,1.53
(Z)-4-isopropylbenzaldehyde oxime,C10H13NO,1.52
(Z)-4-methylbenzaldehyde oxime,C8H9NO,1.09
(Z)-4-nitrobenzaldehyde oxime,C7H6N2O3,4.09
(Z)-4-phenylbut-3-en-2-one,C10H10O,2.87
(Z)-acetaldoxime,C2H5NO,0.85
(Z)-benzaldoxime,C7H7NO,0.91
(Z)-but-2-en-1-ol,C4H8O,1.96
(Z)-octadec-9-enoic acid,C18H34O2,1.18
(Z)-pent-3-en-1-yne,C5H6,0.78
"1,1'-azobis(chloroformamidine)",C2H4Cl2N6,1.95
"1,1,1,2,2,3,3-heptafluoropropane",C3HF7,1.62
"1,1,1,2-tetrachloroethane",C2H2Cl4,1.44
"1,1,1,2-tetrafluoroethane",C2H2F4,1.8
"1,1,1,3,3,3-hexafluoro-2-propanol",C3H2F6O,2.05
"1,1,1,3,3-pentachlorobutane",C4H5Cl5,1.38
"1,1,1,3,3-pentachloropropane",C3H3Cl5,1.08
"1,1,1,3-tetrachloro-3-fluoropropane",C3H3Cl4F,1.17
"1,1,1,3-tetrachloro-3-methylbutane",C5H8Cl4,1.85
"1,1,1,3-tetrachloro-4,4-dimethylpentane",C7H12Cl4,2.4
"1,1,1,3-tetrachlorobutane",C4H6Cl4,1.68
"1,1,1,3-tetrachloropropane",C3H4Cl4,1.22
"1,1,1-trichloro-3-iodopropane",C3H4Cl3I,0.6
"1,1,1-trichloroethane",C2H3Cl3,1.9
"1,1,1-trichloropropane",C3H5Cl3,1.84
"1,1,1-trichlorotrifluoroethane",C2Cl3F3,0.74
"1,1,1-trifluorodisilane",H3F3Si2,2.03
"1,1,1-trifluoroethane",C2H3F3,2.32
"1,1,1-trimethoxyethane",C5H12O3,1.48
"1,1,1-trinitroethane",C2H3N3O6,3.2
"1,1,2,2-tetrabromoethane",C2H2Br4,1.57
"1,1,2,2-tetrachloroethane",C2H2Cl4,1.33
"1,1,2,2-tetrafluoroethane",C2H2F4,2.9
"1,1,2-trichloro-1,2,2-trifluoroethane",C2Cl3F3,0.86
"1,1,2-trichloro-2-methylpropane",C4H7Cl3,1.86
